a	Letter	"To see the letter ""A"" in your dream represents the beginning of a new stage."											
abacus	Machine	To see or use an abacus in your dream refers to your outdated views.											
abalone	Invertebrate	To see or eat abalone in your dream indicates a transitional period in your life.											
abandonment	Action	To dream that you are abandoned suggests that it is time to leave behind past feelings and characteristics that are hindering your growth.											
abbey	Building	"To see an abbey in your dream signifies spirituality, peace of mind and freedom from anxiety."	To see an abbey in ruins indicates feelings of hopelessness.										
abbot	Person	To see an abbot in your dream suggests that someone has power over you and are making you do things that you do not necessarily want to do.											
abbreviation	Action	To see abbreviations in your dream may represent the initials of someone in your life.											
abdomen	Body_Part	To see your abdomen in a dream refers to your natural instincts and repressed emotions.	To dream that your abdomen is exposed represents issues you have with trust and feelings of vulnerability.	To dream that your abdomen is swollen indicates that some new project is in the works.									
abduction	Action	To witness an abduction in your dream signifies feelings of helplessness.											
abnormal	Unknown	To dream of some abnormality or of abnormal objects indicate that the problems that have been preoccupying your mind will soon be resolved.											
aborigine	Person	"To see an Aborigine in your dream represents both your untamed, natural self and your pure, innocent side."											
abortion	Action	To dream that you have an abortion suggests that you are hindering and blocking your own growth.	To dream that someone has an abortion refers to an aspect of your relationship with this person is not growing or maturing.	To dream that you or someone has an illegal abortion indicates that you are desperate to keep things the exact same.									
above	Unknown	To see something above you in your dream suggests that you need to set your goals higher.											
abraham_lincoln	Individual	To see Abraham Lincoln in your dream refers to your solid character and leadership ability.											
abroad	Unknown	To dream of being or going abroad indicates unbalance and chaos in your current situation and condition.											
abscess	Illness	To dream that you have an abscess suggests that there is something that you need to express and get out into the open.											
abstinence	Activity	"To dream that you practice abstinence from drinking, sex or any other sort of sensual temptation is a warning against being over confidant."											
abundance	Unknown	To dream of having an abundance of a certain item indicates that you need to conserve your resources and energies.											
abyss	Place	To dream of an abyss signifies an obstacle that is creating much anxiety for you.	To dream that you are falling into an abyss symbolizes the depths of your subconscious.										
acacia	Plant	To see an acacia tree in your dream symbolizes your attitudes with death and your sense of mortality.											
academy	Structure	To dream of an academy signifies new friendships and opportunities.											
academy_award	Unknown	To dream that you at the Academy Awards indicates that you need to add some glamour into your life.											
accelerator	Tool	To see an accelerator in your dream indicates that you will achieve your goals through your own efforts.	To dream that the accelerator is jammed or broken indicates a loss of control in some aspect of your life.										
accent	Unknown	To speak with an accent in your dream suggests that you are having difficulties conveying your thoughts.	To hear someone speaking with an accent in your dream represents something familiar yet different.										
acceptance	Action	To dream about acceptance indicates issues of self-esteem and measuring up to the expectations of others.											
accident	Event	To dream that you are in an accident signifies pent-up guilt in which you are subconsciously punishing yourself over.	To dream of a car accident symbolizes your emotional state.	"To dream that a loved one dies in an accident indicates that something within your own Self is no longer functional and is ""dead""."									
accomplice	Person	To dream that you are an accomplice to a crime suggests that someone in your waking life is having a negative influence on you.	To dream that you have an accomplice implies that others are enabling your negative habits or behavior.										
accordion	Musical_Instrument	To hear the music of an accordion signifies some saddening and depressing matter.	To dream that you play the accordion denotes intense emotions that are causing physical strain to your body.										
accountant	Person	To see or dream that you are an accountant represents your objectivity toward some situation.											
account	Event	To dream about your bank accounts indicates financial worries.											
accuse	Unknown	To dream that you accuse others signifies disagreements and dissension with those around you.											
ace	Action	To see the ace in the deck of cards suggests ambiguity in your life.											
ache	Illness	To dream that you have aches indicate some hesitation and reluctance in the pursuit of your goals.											
achievement	Action	To dream of an achievement denotes that you will be greatly satisfied with the outcome of a situation or project.											
acid	Substance	"To see acid in your dream represents feelings of hatred, rage, and/or revenge."	To dream that you drink acid indicates that you are emotionally paralyzed and need to learn how to express yourself.										
acorn	Food	To see an acorn in your dream symbolizes strength and durability.											
acquaintance	Person	To see an acquaintance in your dream represents aspects of yourself that you are still trying to get to know.	To dream that you are disputing with an acquaintance represents aspects of yourself that you are rejecting.										
acting	Activity	To dream that you are acting indicates that you are putting up a front and pretending to be someone you are not in some waking situation.											
actor/actress	Unknown	To see an actor or actress in your dream represents your pursuit for pleasure.											
acupuncture	Activity	To dream that you are getting acupuncture suggests that you are in need of healing.											
adamant	Substance	To dream that you are adamant signifies that you will be thwarted in some desire that you held ever so highly in your life.											
adder	Animal	To see an adder in your dream symbolizes a sly or cunning person.											
addict	Person	To dream that you are an addict indicates that you are no longer in control of a situation.											
addiction	Event	To dream that you have an addiction or become addicted represents an obsessive behavior.											
addition	Action	To dream that you are solving an addition problem represents something that is straightforward or obvious.											
address	Event	To dream of your old address suggests that you need to take a look back at the past and learn from it.											
admiral	Invertebrate	To see or dream that you are an admiral represents your ability to tackle life's issues and problems with confidence and decisiveness.											
adobe	Substance	To see an adobe structure in your dream symbolizes protection.											
adopted	Unknown	To dream that you are adopted suggests that you are longing for the child within you.											
adulation	Unknown	To dream that you seek adulation signifies that you will arrogantly step up to undeserved position of honor.	To dream that you are offering adulation denotes that you are willing to part with something near and dear to you in the hopes of material advancement.										
adultery	Unknown	To dream that you commit adultery or have an affair signifies your sexual urges and desires that are longing to be expressed.											
adventurer	Person	To dream that you are an adventurer indicates that you are lacking adventure in your waking life.											
adversary	Person	To dream that you are confronted by an adversary represents a conflict or a fear that you are facing in your waking life.	To dream that you overcome an adversary indicates a resolution to some inner conflict or waking life problem.										
adversity	Event	To dream that you are met with adversity represents the obstacles that you are facing in your waking life.	To dream that others are in adversity signifies your pessimistic outlook in life.										
advertisement	Unknown	To dream that you are putting out an advertisement indicates hard work is needed to achieve your goals.											
advice	Unknown	To dream that you are receiving advice suggests that you need to listen to your instinct and gut.	To dream that you are giving advice indicates that you have the knowledge and information to help others.										
advocate	Person	To dream that you are an advocate for a cause signifies your faithfulness and conviction towards your interest and your loyalty to your friends.											
aerobics	Activity	To dream that you are doing aerobics suggests that you need to get out there and be more active.											
aerosol	Unknown	To see an aerosol can in your dream indicates that you may be feeling under pressure.											
affection	Unknown	To dream that you are showing your affections for someone represents your satisfaction and happiness with a current relationship.											
afterlife	Unknown	To dream of an afterlife refers to your desire of escaping from your own reality.											
afternoon	Unknown	To dream of the afternoon time suggest that it is time to put your energies to good use.											
affliction	Event	To dream that you have an affliction signifies bad news and possible disaster.											
africa	Place	To dream about or that you in Africa reflects your desires to return to your roots.											
african_american	Person	To see an African American in your dream signifies your roots and heritage.											
agate	Substance	"To see a black agate in your dream symbolizes wealth, vigor, and courage."	"To see a red agate in your dream represents peace, longevity, and health."										
age	Unknown	To dream of your age signifies you anxiety and concern of growing older.											
aggression	Action	To dream that you exhibit aggression in your dream denotes repressed sexual needs.											
agony	Illness	To dream that you are in agony suggests that some decision or nagging problem from your waking life has crept into your dream.											
agoraphobia	Illness	To dream that you have agoraphobia signifies a fear of being exposed or seen.											
agreement	Event	To dream of an agreement indicates resolution to a conflict or problem.											
ague	Illness	To dream that you are shivering with an ague forewarns that you will suffer from a physical disorder.	To see others affected with ague in your dream suggests that others are offended by your indifference or lack of compassion in some situation.										
aids	Illness	To dream that you have AIDS indicates that your psychological integrity is being attacked.	To dream that your mate has AIDS suggests that you are in an unhealthy or destructive relationship.	To dream that someone else has AIDS signifies your need to be more compassionate and sympathetic to others.									
air	Action	To dream about the air symbolizes creativity and intelligence.	To feel cold air in your dream signifies discordance in your domestic relations and setbacks in your business affairs.	To dream that you are breathing hot air signifies the influence of evil around you.	To dream that you are walking on air refers to your carefree and upbeat attitude.	To dream that you can bend air refers to your ability to control and watch what you say.							
air_conditioner	Tool	To dream that the air conditioner is not working suggests that you are not able to relax and breathe freely.	To see or feel the air conditioner in your dream represents purification and relief.										
air_gun	Weapon	To see or use an air gun in your dream symbolizes an unperceived threat.											
air_freshener	Unknown	To smell air freshener in your dream suggests that you are enjoying life's little pleasure.											
air_force	Unknown	To dream that you are in the air force suggests that you need to be more spiritually disciplined.											
air_horn	Tool	To hear or sound an air horn in your dream suggests that you are not taking a matter seriously enough.											
air_raid	Activity	To dream that you are caught in an air raid indicates that you are feeling overwhelmed by things that are seemingly coming out of the blue.											
