Final Action	Number of Stories	Closing Action
attack	11284	"well B could hardly expect anything else from A; or must violence be the answer to every problem?, thereafter B would have to learn a very harsh lesson; when it woke up in the ER, how would B react to this attack? With more violence or with forgiveness?,  is violence ever truly the answer to anything? let's hope B doesn't think so, surely there was a better way to resolve this issue? How will B react?, thereafter violence was to beget violence in a never ending cycle of vengeance between B and A"	
settle_with	9864	"so once again it's a case of all's well that ends well; let's hope the settlement holds, surely that is how all problems should be solved in the first place: with words and not with fists, thereafter they talked and talked: so let them use their words rather than their fists to sort things out"	
are_haunted_by	9757	"thereafter the ghostly memory of B would haunt A forever, have you tried to banish a ghost like B? It's harder than it looks, who're you gonna call? The Ghostbusters of course, perhaps its time for A to reach for the holy water and wooden stakes, have you ever wanted to get rid of an unwanted ghost? It's not at all like the movies, thereafter A was to learn that vengeful ghosts have a very long memory indeed, "	
humiliate	9615	"well that didn't end well for B did it?, so how would B react to this awful humiliation? Not well I think, what do you think? Will B take this humiliation lying down?, that kind of total humiliation can scar someone for life; would it scar B?, thereafter B had learned its lesson well: it would never screw with A again, thereafter everyone in the kingdom knew to never screw with A"	
silence	8916	"but just how long do you think B will stay silent about this?, but the only sure way to silence someone is to kill them"	
are_exorcized_by	8276	"chalk up another victory for the Ghostbusters, well A won't be reappearing in a hurry, well that was the end of A; or is it?, but ghosts rarely stay buried forever do they?, but ghosts that have come back once are sure to come back again"	
kill	8128	"well that was a pretty definitive way to deal with B, well B won't be bouncing back from that in a hurry, so A extracts a biblical justice from B, in other words A went medieval on B's ass"	
seek_forgiveness_from	7838	"who can say whether B would have any remaining mercy for A, but it is often harder to forgive than to lash out, well A can certainly ask; but will B listen?, let's hope that B's heart hasn't turned completely to stone, they say that some sins cannot be forgiven; let's hope that they are wrong about that"	
surrender_to	7691	"so A would have to crawl off and lick its wounds, but would A really stay down forever?, but is any victory really so complete that it cannot be overturned?, let's hope that B doesn't ram the white flag down A's throat"	
are_pursued_by	7341	"will B ever catch up to A? Let's hope not for A's sake, tune in next week to see if B ever catches up to A (don't hold your breath), thereafter A sought deep cover but it won't be able to hide from B forever, thereafter A sought deep cover but just how long is B willing to spend searching for A?, thereafter B never gave up the hunt; A may have to spend the rest of its life in hiding"	
manipulate	6268	"thereafter B would suffer the fate of all playthings: eventually their owners tire of them, thereafter B proved to be a very useful pawn in A's schemes, every puppet eventually sees its own strings; will B cut its strings before it is too late?"	
lay_a_trap_for	5842	"would B be naive enough to fall into A's trap? Let's hope not, will B see through A's devious plan in time? Let's hope so, will B fall into A's trap or cleverly avoid it? Hopefully the latter, tune in next time to see if A falls for B's gambit or sees right through it, the best laid traps of mice and men oft go astray; so will A's trap succeed?"	
are_forgiven_by	5560	"that's the way it should be: only forgiveness can wipe the slate clean, does B really forgive A or does bitterness lurk in B's heart?, only time will tell if B really has forgiven A; Let's hope so, let's hope A proves itself deserving of B's generosity of spirit"	
are_feared_by	5429	"thereafter the very mention of A's name would make B go pale, thereafter folks would frighten naughty children with tales of A, the very mention of A's name would send a cold chill down B's spine, some say it is better to be feared than to be loved; are they right in A's case?"	
are_humiliated_by	5388	"well that didn't end well for A did it?, so how would A react to this awful humiliation? Not well I think, what do you think? Will A take this humiliation lying down?, that kind of utter humiliation can scar someone for life, humiliation can be a worse punishment than death for some; is it for A?, will B be satisfied with merely humiliating A? or will B want to use the ultimate sanction?, thereafter A had learned its lesson well: it would never screw with B again,  thereafter everyone in the kingdom knew to never screw with B,  thereafter everyone in the kingdom knew to never screw with A"	
are_banished_by	5376	"A was never again seen in these parts, A's name was never dropped in B's presence again, so A loped into another kingdom and became a thorn in the side of someone else,  death is the ultimate banishment; methinks A will come creeping back one day"	
hate	4888	"thereafter the very mention of B's name would send A into a fit of rage, how long can sustain such intense hatred? Can B one day earn A's forgiveness?, thereafter A learned that hate is a flame that consumes both the hater and its victim, love can so easily turn to hate; but hate so very rarely turns to love"	
testify_for	4886	"Soon after B won the case and became lifelong friends with A, A buckled under cross-examination and earned B's wrath, A was accused of perjury and had to face a trial of its own, thereafter B owed A big-time and eas never allowed to forget this"	
underestimate	4798	"soon thereafter A learned that to underestimate your enemy is to prepare for defeat, a wise general over-estimates the enemy; a fool like A under-estimates the enemy, those like A who underestimate their enemy are willing go elephant hunting with a pop-gun, soon thereafter A learned that those who underestimate their enemy so often fall into their enemy's traps"	
fall_in_love_with	4791	"will romance flourish for A and B? does a happy marriage beckon for A and B? will A and B be star-crossed lovers or will love prevail?, what fate is written in the stars for A and B?, will love blossom and bear fruit from A and B? "	
brainwash	4720	"thereafter B's brain had never been cleaner; nor emptier for that matter, thereafter B's brain had been washed clean but it seemed to have shrunk in the wash, will B's brain shrink in the wash? Brainwashing is a dark art not a pure science, thereafter B's brain buzzed like a reformatted hard disk; and was as empty as one too, thereafter B was as good a soldier for A's cause as anyone: unthinking and loyal"	
imitate	4568	"will B agree that imitation is the sincerest form of flattery?, will B's lawyers agree that imitation is the sincerest form of flattery?, some say that imitation is the sincerest form of flattery; copyright lawyers say otherwise, thereafter B consulted with a lawyer and dragged A throught the courts for copyright theft, thereafter A never found a distinctive voice of its own and was considered second-rate by all"	
are_arrested_for_killing	4398	"how will A fare in prison amongst the other violent inmates?, A ended up in prison: the best place for violent animals, soon after B died so A fried for the crime, B died soon after and A was charged with murder, B died soon after so now A awaits death on death row"	
spread_lies_about	4346	"B's lawyers will have a field day in civil court, B's lawyers are issuing gagging orders as we speak, lies have a nasty habit of coming back to bite their creator in the ass, lies are a virus that infects and degrades everyone, lies are like bullets: you cannot call them back once the trigger has been pulled, lies reverberate the way bullets ricochet: you never know who's going to get hurt"	
alienate	4190	"B was going to spend an awfully long time in the dog house, B  would spend a long time trying to regain A's favor"	
are_denounced_by	4135	"thereafter A crawled off to lick its wounds in private, thereafter A crawled off to plot its revenge in the shadows, A was down for the count but would soon rise again, thereafter A became a recluse; for public denunciation like that leaves a very visible scar, thereafter A would forever bear this shame like the mark of Cain"	
