Initial Action	Number of Uses	Number of Stories	Establishing Action
work_for	15	29082	"A's family had always worked for B's family, B's family had always been good to A, A had always been a hard worker, A was of the working class and proud of it, A was not the sort to shy away from hard work, A considered work to be good for the soul, A was the kind of worker that defined itself by its job, hard work was a tradition in A's family, hard work was practically a gene in A's blood, a hard day's work for a good day's pay was A's motto, money was tight and jobs were scarce, ""I really need this job"" thought A, ""I really need someone to fill this position"" thought B, ""Gissa job"" begged A, ""Come work for me"" said B"	
serve	9	26625	"A's family had long served the family of B, there was a long tradition of service in A's family tree, B was used to being served by others, B's family was to the manor born, B had been born suckling a silver spoon, B had long suckled at the teat of wealth, A came from a family that prized loyal servitude, A saw nothing wrong in a life of service, B was born into a life of privilege"	
are_served_by	3	11943	"B's family had a long history of service to A's, A's and B's families were linked by a tradition of service"	
obey	8	10159	"when B gave an order then B expected to be obeyed, B was the bossy type that liked to order others about"	
appoint	8	8834	"B was frequently lobbied for positions, competition was tough for a position with B, "	
hire	7	7737	"A was hiring so B applied for a job, B needed a job and A had one to give, B could not be choosy about where to work, B had bills to pay and mouths to feed, A could afford to be choosy about who to hire, A had a position that needed to be filled quickly"	
are_hired_by	5	6826	"A's family had always worked for B's family, B's family had always been good to A, A had always been a hard worker, A was of the working class and proud of it, A was not the sort to shy away from hard work, A considered work to be good for the soul, A was the kind of worker that defined itself by its job, hard work was a tradition in A's family, hard work was practically a gene in A's blood, a hard day's work for a good day's pay was A's motto, money was tight and jobs were scarce, ""I really need this job"" thought A, ""I really need someone to fill this position"" thought B, "	
are_appointed_by	5	6767	"A lobbied hard for a plum appointment, A called in favors to get this position"	
disappoint	4	5162	"A was one of life's losers, disappointment was a gift that A gave to others, disappointment followed A like a shadow, excessive drinking had made A unreliable, A had begged B for ""one more chance"", disappointment followed A like a bad smell, failure followed A like a bad smell, A wore failure like bad aftershave, failure followed A the way heartburn follows a taco, failure followed A the way flatulence follows a curry"	
are_worshipped_by	12	4841	"B was always easily impressed, A had always cut an impressive figure, B was always putting others on a pedestal"	
follow	4	4830	B's was a cause that A could get behind	
support	7	4644	"B needed the support of A and its ilk, B knew that achieving great things took the support of others"	
are_dismissed_by	4	4126	"A had pushed B to the limit of tolerance, A's probationary period was nearing an end, A had given B many reasons to despair"	
inspire	5	3963	"B looked everywhere for inspiration, B waited patiently for a bolt of inspiration, B's muse was an unreliable muse"	
are_favored_by	3	3779	it was in the gift of B to offer boons	
abuse	6	3758	"A was an abusive sort who preferred fists to words, A's reputation for abuse was not unwarranted"	
are_recruited_by	4	3396	A had spoken to a bunch of different recruiters	
attract	4	3283	it seemed that B was staring at a mirage of beauty	
advise	3	3271	A was a font of wisdom for anyone who would drink of it	
enchant	5	3047	"B was a creature of passion and imagination, B's heart ruled over B's head"	
command	3	2923	"B needed a strong hand from a strong leader, B preferred to be told what to do"	
are_impressed_by	9	2882	"A rarely admitted to being impressed by anyone, B had always cut an impressive figure, B made a very good first impression"	
are_disillusioned_by	4	2765	"A could see clearly now that the rain had gone, A was beginning to see past the smoke and mirrors, the illusion was wearing thin"	
turn_against	5	2697	"B's confidence had soured into smugness, B was blind to the concerns of others, B did not see the warning signs"	
are_rewarded_by	3	2678	"""I deserve a bonus for this"" opined A, B was certainly happy with A's efforts, A had delivered a superlative effort"	
curry_favor_with	5	2607	"B would grant boons to those who played the game, B was already surrounded by hangers-on"	
are_exploited_by	4	2519	"A would not hear a bad word said about B, many people had warned A about B"	
interrogate	3	2471	"B would prove a tough nut to crack open; even with a hammer, every criminal eventually opened up to B "	
are_supported_by	3	2354	A realized that some jobs are too big to do alone	
lick_up_to	7	2332	"A saw no disgrace in using flattery to obtain a goal, B was surrounded by fawners and flatterers"	
are_advised_by	3	2031	B was a font of wisdom for anyone who would drink of it	
manipulate	7	2023	"A had a knack for getting others to do things, B was not what you call the independent sort"	
kill_for	3	1976	B had trained A well ... as an assassin	
believe_in	5	1975	"B could sell ice to the eskimos, B was not short on self-belief, ""I want to believe"" thought A"	
are_commanded_by	2	1959	""Your wish is my command" said A"
exploit	2	1954	"B would not hear a bad word said about A, many people had warned B about A, B went through life with a ""kick me"" on its back"	
work_with	7	1854	"B and A had met on their first day at the firm, B had heard good things about this newcomer, B had read A's CV and was impressed, it was B that helped A get the job"	
are_inspired_by	2	1766	A had just attended a public lecture by B	
