help	exploited_by	abandon, turn_against,take_aim_at
look_after	are_pushed_too_far_by, are_bitten_by	abandon, turn_against, take_aim_at
tend, care_for	are_pushed_too_far_by, are_disgusted_by, are_shocked_by	abandon, testify_against
capture	are_bitten_by	abuse, kill
enlist	are_trusted_by, are_respected_by	abuse
exploit	are_feared_by, are_distrusted_by	alienate
supervise, look_after	are_trusted_by, are_respected_by	indoctrinate
look_after	are_upstaged_by, are_driven_mad_by, are_bitten_by	abuse
lead	are_disrespected_by	abuse
mock	are_forgiven_by	admire
spy_on	are_discovered_by	beg_forgiveness_from
spy_on	are_shocked_by	take_aim_at
are_trusted_by, are_welcomed_by, are_intrigued_by	spy_on, travel_with, accompany	are_shocked_by
are_shocked_by	blackmail	are_bought_off_by
abuse	are_feared_by, are_distrusted_by, are_despised_by	alienate
condescend_to	are_despised_by, are_resented_by	alienate
condescend_to	are_ignored_by, are_rebuffed_by	humiliate
humiliate	are_despised_by	alienate
insult	are_despised_by	alienate
love	are_driven_mad_by	alienate, kill
love	are_energized_by	alienate
play_for	are_heckled_by, are_booed_by	condescend_to
punish	are_despised_by, are_resented_by	alienate
resent	are_feared_by, are_distrusted_by	alienate
travel_with	are_bored_by	alienate
tune_out	are_lectured_by, are_chastised_by	alienate
interview	are_impressed_by, are_entertained_by, are_intrigued_by	write_about
interview	are_trusted_by, are_respected_by	share_stories_with
interview	are_trusted_by, are_respected_by	spread_lies_about
interview	are_insulted_by, are_attacked_by	testify_against
write_about	are_contradicted_by	argue_with
observe	are_intrigued_by	spy_on
are_accompanied_by	argue_with, disagree_with, fail_to_deliver_for	are_abandoned_by
are_assisted_by	condescend_to, overwork	are_abandoned_by
are_deflowered_by	fall_in_love_with	are_abandoned_by
are_escorted_by	argue_with	are_abandoned_by
are_followed_by	disappoint, disillusion, deceive, condescend_to	are_abandoned_by
are_kissed_by	sleep_with	are_abandoned_by
are_shielded_by	fail_to_reward, condescend_to	are_abandoned_by
are_supported_by	condescend_to, disrespect, fail_to_reward	are_abandoned_by
are_worshipped_by	fail_to_impress, ignore, spread_lies_about, fail_to_deliver_for	are_abandoned_by
are_attracted_by	trust, flirt_with, play_with	are_abducted_by
are_worshipped_by	condescend_to, ignore	are_abducted_by
are_arrested_for_hurting	beg_forgiveness_from, seek_forgiveness_from	are_forgiven_by
are_forgiven_by	sympathize_with	are_inspired_by
