Action	Count Usages	Normative Form	Idiomatic Forms
are_trusted_by	92	B trusted A	"B trusted A implicitly, B trusted A without reservation, B saw no reason to distrust A, B had no doubts about A, B implicitly trusted A, B had total confidence in A, B trusted A totally, A enjoyed B's trust, B was very open with A"
are_disrespected_by	75	B disrespected A	"B openly disrespected A, B sneered openly at A, B was always snooty to A, B was openly contemptuous of A, B thought very little of A, B never said anything nice about A, B had only bad things to say about A, B muttered darkly behind A's back, B did not pretend to like A, B was scornful of A, B spat in A's eye, B spat in A's face, B could say nothing good about A, B did not treat A with respect, B lacked any respect for A, B made A feel very small indeed"
condescend_to	68	A condescended to B	"A snootily condescended to B, A looked down its nose at B, A considered B to be an inferior breed, A spoke to B with an air of superiority, A talked to B as one talks to an underling, A adopted a haughty attitude to B, A looked down on B from a height A considered B to be its social inferior, A did not consider B its equal, A treated B as a fool, A considered B a lesser being, A pissed on B from a height, A rolled its eyes whenever B spoke, A treated B like a lowly servant, A openly belittled B, A demeaned and belittled B"
are_deceived_by	61	B deceived A	"B completely deceived A, B lied convincingly to A, B masterfully deceived A, A was totally fooled by B, A was completely taken in by B, B pulled the wool over A's eyes, B kept A totally in the dark, A did not detect B's deception, B made a fool of A, B could make A believe anything, A bought B's lies hook line and sinker, B ensnared A in an elaborate deception, B perpetrated an eleborate con on A, A was totally conned by B, A was swindled by B"
disappoint	59	A disappointed B	"A thoroughly disappointed B, B was very disappointed in A, B considered A to be a big disappointment, B thought ""What a loser when looking at A, ""Could you be a bigger disappointment?"" asked B sarcastically, ""I'm very disappointed"" said B to A, ""I've let you down"" apologized A to B, ""You've let me down"" said B plaintively, B considered A a loser, B treated A as a failure, A's flaws became all too apparent to B, B wrote A off as a loser"
fall_in_love_with	56	A fell in love with B	"A became utterly smitten with B, A only had eyes for B, A fell head over heels in love with B, A became utterly besotted with B, A's thoughts of B were thoughts of love, A was totally infatuated with B, Wedding bells tinkled in A's brain when looking at B, A heard wedding bells when looking at B, B was a vision of loveliness to A, birds sang whenever A thought of B, ""I'm in love"" thought A, A developed a crush on B, love stirred in A's heart for B, A fell head over heels for B, A became consumed with love for B, A went weak at the knees for B, A's heart pined for B, A became consumed by B, A's pulse raced at the thought of B"
are_feared_by	55	B feared A	"B was frightened of A, A filled B with fear, B quaked with fear in A's presence, B shook with fear at thoughts of A, B was scared of A, B trembled with fear around A, A scared the life out of B,B was absolutely terrified of A, B quietly nurtured a fear of A, A scared the piss out of B"
are_impressed_by	55	B impressed A	"B impressed the hell out of A, B made a tremendous impression on A, A thought very highly of B, B cut an impressive figure to A, B seemed a magnificent figure to A, B made quite the impression on A, B seemed a towering figure to A, "
are_pushed_too_far_by	53	B pushed A too far	"B pushed A too far, B demanded too much of A, B's expectations of A were much too high, B placed unrealistic expectations on A, B pushed A over the edge, B made excessive demands of A, B pushed A to the limits and beyond, B demanded far too much of A, B treated A as a slave to be whipped, ""I can't take this any longer"" said A to B"
steal_from	51	A stole from B	"A pinched B's best ideas, A picked B's pockets, A cleaned out B's bank accounts, A ripped off B for everything of value, A pocketed B's money, A stole money from B, A hacked into B's bank account, A used B's credit card without permission, A wrote cheques on B's account, A stole B's inheritance, A took everything that B had, A ripped off B's best ideas"
are_bored_by	50	B bored A	"B bored A to death, A found B to be incredibly boring, A could not think of anyone more boring than B, B's boring voice sent A to sleep, A saw B as a total bore, A was bored almost to death by B, ""What a bore!"" thought A of B, A saw nothing of interest in B, A saw B as dull and boring, A was utterly bored by B, A was bored out of its skull by B"
are_worshipped_by	50	B worshipped A	"B worshipped the ground beneath A, B worshipped A as a god, B adored A as a god, B saw A as nothing less than a god, B placed A on a very high pedestal, B practically worshipped A, A seemed utterly divine to B, B bowed down before A's awesomeness, B looked up to A as a god, B kissed the very ground beneath A"
fail_to_deliver_for	46	A failed to deliver for B	"A simply failed to deliver for B, A let down B big time, A could not reach the bar set by B, A could not achieve B's lofty goals"
are_exploited_by	46	B exploited A	"B totally took advantage of A, B treated A as a pliable pawn, B pulled A's strings, B got A to do some bad stuff, B used A to achieve some dubious goals, A was totally exploited by B, B pimped out A to its friends, A was urged to commit criminal acts for B, A was just a pawn in B's schemes "
kill	45	A killed B	"A stabbed B, A mauled B, A put poison in B's cup, A put poison in B's food, A savaged B, A put B in the hospital, A gave B a terrible beating, A punched and kicked B, A gave B an almighty wallop, A kicked B into the next day, A stomped all over B, A gave B a good kicking, A viciously assaulted B, A launched an assassination attempt on B, A wanted to kill B, A choked the air out of B, A flayed B alive, A knocked the stuffing out of B"
are_ignored_by	43	B ignored A	"B acted like A didn't exist, B turned its back on A, B pretended A didn't exist, B treated A as a non entity, B coldly ignored A, B treated A as persona non grata, B would not give the time of day to A, A no longer existed for B, A was persona non grata to B, B gave A the cold shoulder, B turned its back on A"
spread_lies_about	43	A spread lies about B	"A spread terrible stories about B, A started vile rumours about B, A whispered rumours behind B's back, A made slanderous remarks about B, A shared cruel jibes about B, A made crude jibes about B, A spread slander about B"
beg_forgiveness_from	39	A begged forgiveness from B	"A begged B's forgiveness, A grovelled at B's feet, A pleaded with B for forgiveness, A apologized effusively to B, ""Forgive Me"" begged A of B"
underestimate	39	A underestimated B	"A crucially underestimated B, B was smarter than A imagined, B was not as dumb as A imagined, A should not have treated B as a fool, B was not the fool that A imagined"
cede_power_to	39	A ceded power to B	"A ceded all its power to B, A relinquished all its power to B, ""Command me as you wish"" said A to B, ""Your wish is my command"" said A to B, A relinquished all its power to B, B's domination of A was total, A prostrated itself before B"
are_underpaid_by	39	B underpaid A	"B shamelessly underpaid A, B did not adequately reward A, B stingily underpaid A, B did not properly reward A's efforts, B did not give A its just reward"
are_disgusted_by	38	B disgusted A	"B filled A with disgust, B thoroughly sickened A, A was thoroughly disgusted with B, A was sickened by the very thought of B, B filled A with revulsion, B disgusted and repulsed A, A was thoroughly repulsed by B, A was disgusted at the very thought of B, ""You're disgusting"" thought A about B, ""You disgust me"" said A to B, ""How monstrous"" thought A of B, A considered B a disgusting monstrosity, B turned A's stomach, B made A sick to its stomach, B made A's skin crawl"
are_betrayed_by	38	B betrayed A	"B stabbed A in the back, B became a Judas to A, B sold out A to its enemies, B betrayed A utterly, B's betrayal came as a surprise to A, B treacherously switched sides from A, B betrayed A's trust, B proved to be a false friend to A"
are_lectured_by	37	B lectured A	"B lectured A at length, B treated A to a lecture, B gave A a very long lecture, B lectured A for hours, B delivered a long lecture to A, B gave A a paternalistic talk, B authoritatively lectured A"
seek_forgiveness_from	37	A sought forgiveness from B	"A sought forgiveness from B, ""Please forgive me"" begged A, ""Please forgive me"" pleaded A, A grovelled for forgiveness from B, ""I repent! I repent"" muttered A, ""Mea culpa! Mea maxima culpa"" grovelled A, ""Can you ever forgive me?"" asked A"
